final_state	final_gen	BL_start	start_pop_tot	start_pond_pop	colonies_at_BL_start	colonies_at_end	BL_peak	total_ponds
1	3	10	9	344	1	5	5	0	64
2	3	11	10	248	1	8	9	0	130
3	3	10	6	236	2	9	9	1	129
4	3	7	6	313	2	9	11	0	84
5	3	14	8	385	5	5	6	1	93
6	3	11	7	450	1	8	12	1	80
7	3	16	12	294	1	5	6	1	57
8	3	9	8	256	1	13	16	0	134
9	3	8	6	258	1	7	6	1	55
10	3	18	11	316	1	7	9	1	110
11	3	11	5	385	4	7	11	1	107
12	3	16	14	280	1	11	11	1	145
13	3	9	6	296	1	4	7	1	105
14	3	8	6	209	1	6	5	1	93
15	3	11	6	403	3	9	17	0	103
16	3	7	6	294	1	12	13	0	116
17	3	51	13	398	1	9	29	44	69
18	3	12	5	254	1	4	13	1	79
19	3	15	8	336	1	6	13	1	54
20	3	16	5	352	2	5	10	1	50
21	3	46	17	228	1	9	48	58	131
22	3	10	6	323	1	6	7	1	59
23	3	8	5	223	1	6	11	1	98
24	3	30	15	256	1	11	24	13	117
25	3	21	14	318	3	6	11	1	55
26	3	7	6	215	2	4	4	0	104
27	3	16	8	218	1	8	17	1	112
28	3	9	7	910	1	7	7	1	102
29	3	10	7	329	3	5	9	1	145
30	3	10	9	287	1	12	11	0	126
31	3	11	5	346	1	4	5	1	141
32	3	10	6	288	1	4	7	1	91
33	3	10	5	308	2	7	14	1	137
34	3	9	6	385	2	6	7	1	116
35	3	18	8	249	1	16	33	1	134
36	3	16	8	230	1	8	17	1	146
37	3	13	8	245	1	7	16	1	135
38	3	12	10	207	1	8	8	1	76
39	3	8	6	419	2	9	13	1	130
40	3	14	11	448	2	10	13	0	85
41	3	10	8	255	1	8	9	1	116
42	3	22	9	200	1	8	36	1	96
43	3	45	11	309	2	7	50	52	100
44	3	6	5	294	1	4	4	0	53
45	3	8	6	208	2	5	6	1	53
46	3	10	6	264	1	5	8	1	89
47	3	13	8	262	1	5	7	1	102
