final_state	final_gen	BL_start	start_pop_tot	start_pond_pop	colonies_at_BL_start	colonies_at_end	BL_peak	total_ponds
1	3	14	5	224	1	10	16	1	102
2	3	17	12	310	1	9	15	1	91
3	3	10	8	233	2	6	8	0	99
4	3	25	10	318	2	5	11	1	83
5	3	7	5	212	1	5	6	1	50
6	3	7	5	251	1	5	6	1	102
7	3	11	8	356	2	4	5	1	102
8	3	7	5	271	1	9	11	1	150
9	3	12	11	389	1	12	11	0	98
10	3	23	13	250	1	9	21	1	82
11	3	27	9	396	1	9	33	3	145
12	3	36	10	200	1	4	18	66	62
13	3	14	12	216	1	7	8	1	68
14	3	20	17	289	2	7	10	1	72
15	3	15	6	312	1	5	12	1	92
16	3	18	6	363	1	3	3	10	53
17	3	11	5	299	1	8	17	1	122
18	3	14	9	242	1	10	16	1	81
19	3	84	9	240	1	10	81	114	89
20	4	25	0	0	0	0	3	0	66
21	3	18	11	409	1	8	11	1	146
22	3	10	5	302	1	4	6	1	119
23	3	8	6	344	1	9	14	1	136
24	3	12	9	205	1	7	9	1	84
25	3	12	6	212	2	7	11	1	56
26	3	14	13	270	1	8	8	0	132
27	3	9	7	288	1	11	12	1	115
28	3	6	5	205	1	6	10	0	72
29	3	13	11	253	1	8	10	1	80
30	3	13	7	370	1	3	3	1	55
31	3	15	9	331	2	5	11	1	73
32	3	9	7	364	1	9	11	1	108
33	3	10	8	218	1	4	6	1	97
34	3	27	13	228	2	9	29	15	102
35	3	13	11	227	1	7	6	1	62
36	3	15	6	372	2	11	27	1	110
37	3	13	6	337	1	8	12	1	85
38	3	12	6	676	7	10	16	1	136
39	3	18	11	339	1	10	26	1	119
40	3	21	14	208	1	9	14	1	147
41	3	10	6	298	2	8	14	1	66
42	3	20	11	250	1	9	24	1	116
43	3	31	8	256	1	6	29	31	96
44	3	24	11	417	3	4	5	12	73
45	3	9	8	256	2	8	10	0	94
46	3	53	5	412	1	4	70	105	88
47	3	19	15	451	1	6	9	1	117
48	3	46	8	225	1	11	16	69	65
49	3	11	10	302	1	12	12	0	130
50	3	10	6	494	1	8	11	1	142
51	3	20	10	215	1	6	11	1	83
52	3	25	14	237	1	10	23	1	139
53	3	27	11	300	2	6	17	1	61
54	3	19	17	335	2	6	8	1	69
55	3	11	10	287	1	5	5	0	97
56	3	26	17	310	1	6	12	1	52
57	3	22	8	318	1	10	27	1	99
58	3	7	6	295	2	8	8	0	114
59	3	16	10	309	1	4	6	1	73
60	3	15	7	226	1	4	8	1	60
61	3	18	14	348	2	5	7	1	81
62	3	20	14	504	1	7	9	1	60
63	3	6	5	244	1	4	4	0	110
64	3	9	8	468	1	6	6	0	139
65	3	23	7	287	1	13	51	6	132
66	3	12	11	272	2	14	15	0	116
67	3	11	6	221	1	5	8	1	80
68	3	9	7	241	1	8	10	1	57
69	3	7	5	262	1	9	10	1	108
70	3	17	8	218	1	10	17	1	122
71	3	11	6	579	1	8	12	1	95
72	3	8	5	432	1	6	8	1	138
73	3	13	12	737	1	11	9	0	133
74	3	18	11	295	1	9	18	1	134
75	4	25	0	0	0	0	5	0	51
76	3	11	5	339	1	6	12	1	144
77	3	10	5	582	5	3	5	1	58
78	3	32	5	213	2	5	13	9	51
79	3	10	9	326	1	6	10	0	140
80	3	16	12	312	1	9	13	1	86
81	3	15	7	227	1	7	8	1	61
82	3	7	6	352	2	7	8	0	140
83	3	9	6	252	1	4	3	1	58
84	3	7	5	335	1	6	7	1	131
85	3	9	5	205	1	8	9	1	106
86	3	30	12	279	2	5	9	4	54
87	3	14	8	387	1	8	9	1	57
88	3	6	5	307	1	4	4	0	63
89	3	22	6	412	1	7	35	1	114
90	0	1000	16	255	1	6	119	3078	119
91	3	11	10	351	1	6	5	0	85
92	3	18	14	575	1	7	10	1	57
93	3	10	6	315	1	7	7	1	113
94	3	14	11	207	1	8	10	1	70
