final_state	final_gen	BL_start	start_pop_tot	start_pond_pop	colonies_at_BL_start	colonies_at_end	BL_peak	total_ponds
1	3	9	8	333	1	7	7	0	125
2	1	14	0	0	0	0	0	0	130
3	3	14	10	276	1	5	4	1	82
4	3	10	5	201	1	10	15	1	123
5	3	8	6	221	1	7	6	1	100
6	3	9	7	377	1	6	6	1	85
7	0	1000	20	690	1	5	56	4878	57
8	3	14	10	266	2	7	9	1	81
9	3	27	21	225	1	9	10	1	58
10	3	22	7	206	1	8	16	1	138
11	3	10	6	469	1	4	6	1	75
12	3	7	5	258	1	6	7	1	89
13	3	23	12	301	2	8	13	1	96
14	3	20	8	682	1	9	20	2	98
15	3	17	13	261	1	7	10	1	92
16	3	8	5	301	1	11	12	1	93
17	3	6	5	474	1	7	7	0	111
18	3	12	7	204	1	4	6	1	78
19	3	27	9	229	1	3	4	10	85
20	3	17	16	235	1	10	11	0	138
21	3	18	7	283	1	8	22	1	91
22	3	17	5	427	2	7	33	1	137
23	3	8	5	377	2	10	14	1	133
24	3	12	9	367	1	6	8	1	81
25	3	6	5	212	1	8	9	0	146
26	3	9	8	328	1	8	9	0	77
27	3	11	8	265	1	7	9	1	96
28	3	24	18	314	1	6	9	1	50
29	3	7	5	326	1	5	7	1	124
30	3	22	8	276	1	10	30	3	144
31	3	7	6	500	1	8	7	0	64
32	3	20	13	243	2	15	35	1	124
33	3	6	5	439	1	5	7	0	136
34	3	14	5	267	1	5	8	1	60
35	3	17	15	276	1	12	11	1	117
36	3	50	8	220	1	7	98	7	149
37	3	29	7	320	1	4	12	13	74
38	3	17	12	325	1	5	7	1	51
39	3	11	10	212	1	12	16	0	133
40	3	11	10	370	1	6	7	0	123
41	3	18	16	224	1	10	10	1	111
42	3	12	7	223	2	9	11	1	122
43	3	177	6	344	1	4	67	390	67
44	3	8	5	264	1	6	9	1	129
45	3	19	13	384	1	13	25	1	136
46	3	9	5	426	1	8	12	1	110
47	3	7	6	433	1	6	6	0	90
48	3	14	7	262	1	7	14	1	83
49	3	9	5	229	2	8	14	1	138
50	3	17	6	245	1	8	25	1	149
51	3	11	5	211	1	7	12	1	149
52	3	9	7	430	1	5	7	1	113
53	3	19	17	770	1	6	8	1	138
54	3	8	6	500	1	6	6	1	120
55	3	8	6	276	1	6	7	1	141
56	3	11	10	388	1	6	6	0	51
57	3	12	11	258	2	6	7	0	85
58	3	17	16	208	1	11	12	0	106
59	3	8	6	272	2	8	8	1	115
60	3	29	14	823	1	6	7	1	58
61	3	43	5	297	3	3	27	25	105
62	3	9	5	433	1	6	9	1	94
63	3	15	7	649	1	8	21	1	133
64	3	15	8	259	1	11	20	1	141
65	3	38	5	212	1	4	61	6	121
66	3	8	7	206	1	7	6	0	72
67	3	22	11	210	1	5	10	1	72
68	3	33	12	236	1	4	4	1	51
69	3	8	5	248	1	7	10	1	136
70	3	11	7	447	2	6	10	1	72
71	3	23	6	296	1	6	16	5	85
72	3	15	5	469	1	9	18	1	118
73	3	7	5	207	1	5	7	1	73
74	3	25	8	346	1	8	37	19	131
75	3	17	5	406	1	3	7	1	52
76	3	8	7	941	1	5	4	0	109
77	3	8	7	325	1	9	11	0	88
78	3	9	6	221	3	6	10	1	113
79	3	14	10	246	1	9	13	1	115
80	3	19	9	469	3	8	22	1	147
81	3	10	8	282	1	7	7	1	82
82	3	9	7	487	1	12	15	1	130
83	3	29	9	445	2	5	10	33	83
84	3	13	7	211	1	5	8	1	101
85	3	25	9	432	1	5	6	1	63
86	3	43	7	206	1	11	102	154	145
87	3	21	7	290	1	8	28	1	126
88	3	12	9	323	1	7	7	1	139
89	3	24	6	387	1	6	20	6	80
90	3	9	8	214	1	5	6	0	64
91	3	15	10	262	1	7	9	1	106
92	3	12	9	226	1	8	9	1	129
93	3	45	5	270	2	9	92	180	132
94	3	12	11	201	1	6	5	0	95
95	3	25	5	211	1	4	20	1	149
96	3	15	13	215	1	9	9	1	119
97	3	7	5	398	1	12	14	1	145
98	3	32	17	261	1	4	10	12	64
99	3	16	13	248	1	10	16	1	112
100	3	14	11	327	1	8	8	1	121
101	3	39	5	284	2	9	104	38	135
102	3	9	7	513	2	4	5	1	141
103	3	13	9	271	1	3	3	1	52
104	3	20	7	301	1	6	12	1	78
105	3	22	10	227	1	8	21	1	100
106	3	12	6	284	1	6	7	1	54
107	3	9	5	481	1	4	6	1	75
108	3	21	10	400	1	5	10	1	56
109	3	26	9	213	1	9	33	13	105
110	3	22	16	203	1	14	27	1	118
111	3	18	9	219	1	8	18	1	142
112	3	7	5	506	1	4	4	1	57
113	3	13	7	258	1	5	10	1	118
114	3	11	6	342	1	7	15	1	134
115	3	16	12	249	1	9	13	1	120
116	3	15	8	606	1	4	8	1	87
117	3	12	11	320	1	6	6	0	98
118	3	16	8	221	1	9	23	1	148
119	3	6	5	285	1	7	7	0	150
120	3	9	7	212	2	8	9	0	88
121	3	19	17	318	1	7	7	1	92
122	3	43	15	338	1	8	61	4	110
123	3	24	16	283	1	7	14	1	105
124	3	24	10	494	2	6	14	1	52
125	3	12	11	284	1	6	5	0	143
126	3	12	8	265	1	9	11	1	58
127	3	21	6	251	1	8	18	1	61
128	3	9	7	320	2	8	10	1	76
129	3	8	7	241	1	3	2	0	74
130	3	16	6	306	1	6	17	1	133
131	3	8	7	208	1	5	4	0	53
132	3	9	6	373	1	6	7	1	106
133	3	9	6	342	1	4	5	1	87
134	3	10	5	291	1	8	16	1	132
135	3	11	6	417	1	6	10	1	106
136	3	12	5	491	3	5	10	1	72
137	3	18	15	280	1	12	13	1	93
138	3	32	13	250	2	10	52	1	129
139	3	6	5	403	4	6	7	0	75
140	3	23	15	228	1	10	28	1	133
141	3	12	10	204	1	5	6	1	64
142	3	11	10	234	1	11	12	0	145
143	3	16	10	203	1	11	19	1	122
144	3	13	6	276	1	3	6	1	65
145	3	27	8	222	2	9	23	8	53
146	3	23	21	253	1	10	14	1	73
147	3	7	6	247	1	7	10	0	97
148	3	11	10	274	2	8	9	0	50
149	3	10	9	213	2	7	7	0	81
150	3	28	6	218	1	7	14	51	52
151	3	42	21	203	1	7	17	19	55
152	3	17	5	265	1	8	20	8	101
153	3	12	11	279	1	7	7	0	83
154	3	16	9	268	1	6	10	1	56
155	3	6	5	284	1	9	9	0	134
156	3	33	8	312	2	5	24	13	91
157	3	15	10	311	1	5	5	1	57
158	3	17	9	253	1	7	20	1	141
159	3	23	9	250	1	10	31	1	96
160	3	8	7	221	1	3	2	0	138
161	3	22	7	354	1	3	13	1	50
162	3	22	12	214	2	8	13	1	65
163	3	15	7	223	1	8	32	1	140
164	3	10	6	472	1	9	15	1	121
165	3	11	7	244	1	9	15	1	137
166	3	21	13	328	1	10	14	1	51
167	3	10	7	316	2	9	10	1	110
168	3	13	8	361	2	6	15	1	82
169	3	19	7	237	1	9	19	1	113
170	3	7	6	474	1	6	4	0	104
171	3	9	8	374	1	8	9	0	136
172	3	12	10	381	1	9	11	1	150
173	3	9	6	269	1	8	10	1	131
174	3	7	6	256	1	6	5	0	52
175	3	31	8	222	2	6	35	30	124
176	3	20	17	246	2	6	7	1	115
177	3	10	8	420	1	6	7	1	68
178	3	11	8	205	1	6	12	1	120
179	3	17	13	227	1	18	29	1	136
180	3	9	5	261	1	6	12	1	83
181	3	10	8	271	1	5	4	1	105
182	3	7	5	350	1	9	11	1	140
183	3	10	9	248	1	6	6	0	58
184	3	36	9	285	2	4	4	39	66
185	3	10	6	383	1	6	10	1	145
186	3	10	8	208	1	6	6	1	60
187	3	22	13	222	1	5	10	1	65
188	3	9	8	207	1	8	11	0	145
189	3	12	7	311	1	10	12	1	94
190	3	21	7	229	1	6	30	1	101
191	3	6	5	288	1	6	6	0	108
192	3	8	6	262	1	5	7	1	83
193	3	24	10	232	1	10	25	1	101
194	3	17	15	263	1	8	8	1	69
195	3	7	6	620	1	8	9	0	123
196	3	19	15	249	1	6	5	1	72
197	3	17	15	369	1	8	7	1	53
198	3	31	15	247	1	9	33	1	130
199	3	7	6	209	1	8	12	0	131
200	3	16	13	330	2	8	9	1	92
201	3	12	10	307	1	14	17	1	131
202	3	6	5	298	1	3	5	0	137
203	3	9	8	324	1	9	8	0	138
204	3	47	13	313	3	9	80	174	122
205	3	11	8	227	1	7	9	1	132
206	3	26	9	439	1	7	25	7	136
207	3	42	12	354	1	5	25	23	52
208	3	9	7	287	1	7	8	1	108
209	3	13	11	501	1	6	7	1	65
210	3	12	7	506	1	7	12	1	96
211	3	12	8	217	3	5	6	1	68
212	3	23	16	212	1	5	19	1	130
213	3	6	5	284	1	4	5	0	51
214	3	26	10	309	1	7	27	1	68
215	3	13	5	425	3	5	10	1	64
216	3	8	6	233	1	4	3	1	66
217	3	17	5	317	1	3	7	1	84
218	3	16	9	225	2	11	24	1	130
219	3	10	8	260	2	11	12	0	130
220	3	26	7	324	1	6	27	1	110
221	3	7	5	310	1	9	9	1	93
222	3	38	5	386	2	6	18	15	55
223	3	30	8	209	1	11	67	1	131
224	3	10	8	278	2	4	4	1	60
225	3	12	10	200	1	8	9	1	108
226	3	28	24	500	1	12	20	1	85
227	3	26	19	221	1	12	20	1	100
228	3	13	7	480	1	4	4	1	52
229	3	16	7	254	1	7	28	1	142
230	3	21	14	247	3	5	9	1	55
231	3	13	7	236	1	10	16	1	140
232	3	12	5	361	2	9	18	1	120
233	3	9	5	313	1	8	13	1	145
234	3	8	7	215	1	3	3	0	57
235	3	27	12	232	1	7	15	1	138
236	3	528	11	224	1	6	52	924	52
237	3	17	10	425	1	7	13	1	143
238	3	20	5	503	2	7	34	1	128
239	3	12	7	225	1	7	15	1	110
240	3	12	7	240	3	7	7	1	135
241	3	12	11	227	1	11	10	0	122
