final_state	final_gen	BL_start	start_pop_tot	start_pond_pop	colonies_at_BL_start	colonies_at_end	BL_peak	total_ponds
157	3	15	7	358	1	7	15	1	118
158	3	26	6	529	3	8	20	1	81
159	1	20	0	0	0	0	0	0	54
160	3	10	6	384	1	12	14	1	119
161	3	6	5	381	1	8	9	0	108
162	3	21	8	260	2	4	14	1	63
163	3	23	5	218	1	7	36	8	106
164	3	9	7	235	1	6	9	1	107
165	3	19	10	248	2	10	23	1	139
166	3	59	20	457	3	7	42	85	116
167	3	17	6	218	1	5	19	3	111
168	3	16	6	329	1	7	22	1	70
169	3	11	10	246	2	9	10	0	141
170	3	39	13	285	1	8	13	61	53
171	3	44	10	259	1	8	90	69	124
172	3	14	11	355	2	8	11	1	122
173	3	11	10	256	1	16	18	0	140
174	3	23	5	489	1	6	19	24	118
175	3	12	11	203	1	6	7	0	143
176	3	24	10	294	2	6	23	3	72
177	3	18	12	208	1	8	14	1	119
178	3	12	11	314	1	9	9	0	121
179	3	8	5	223	1	7	11	1	107
180	3	19	12	445	1	8	12	1	63
181	3	20	8	263	2	9	19	1	58
182	3	16	11	232	1	12	15	1	111
183	3	18	15	266	1	8	12	1	133
184	3	27	13	715	1	4	6	1	51
185	3	12	6	257	1	11	14	1	141
186	3	7	6	210	2	8	9	0	130
187	3	17	6	325	1	8	20	1	124
188	3	18	10	300	1	14	33	1	111
189	3	17	6	459	1	10	15	1	82
190	3	21	11	289	6	7	27	1	94
191	3	19	12	216	1	10	21	1	126
192	3	32	8	224	1	11	51	16	97
193	3	8	7	437	1	6	5	0	94
194	3	42	5	294	1	6	59	86	104
195	3	13	6	314	1	5	5	1	53
196	3	23	6	419	2	7	12	1	112
197	3	12	11	229	1	11	12	0	104
198	0	1000	9	566	1	4	90	7794	90
199	3	16	15	211	1	11	10	0	113
200	3	14	7	330	1	8	19	1	109
201	3	11	5	272	1	6	8	1	143
202	3	11	7	223	1	5	6	1	60
203	3	38	23	219	2	9	36	2	143
204	3	6	5	432	1	10	9	0	111
205	3	21	20	348	1	5	5	0	51
206	3	33	12	1032	2	7	23	18	72
207	3	13	8	256	1	6	11	1	82
208	3	7	5	473	2	7	11	1	131
209	3	21	19	332	1	9	11	1	98
210	3	33	5	274	2	5	30	49	60
211	3	14	13	253	1	6	6	0	60
212	3	9	5	505	1	6	5	1	61
213	3	6	5	254	1	6	8	0	146
214	3	19	8	208	1	7	19	1	78
215	3	17	13	518	1	7	8	1	59
216	3	22	5	277	1	9	59	7	141
217	3	17	11	574	1	6	8	1	139
218	3	24	9	236	1	9	39	1	122
219	3	10	9	225	1	12	11	0	147
220	3	22	13	214	1	9	23	1	118
221	3	9	5	296	1	5	8	1	139
222	3	9	8	276	1	10	10	0	127
223	3	15	14	237	1	6	5	0	106
224	3	37	11	210	2	10	66	7	149
225	3	26	9	323	1	7	27	1	104
226	3	12	11	492	3	6	7	0	83
227	3	14	8	218	2	5	8	1	103
228	3	19	11	295	2	7	12	1	120
229	3	9	8	466	1	9	9	0	71
230	3	7	6	295	1	6	6	0	58
231	3	24	18	221	2	10	19	1	137
232	3	17	6	306	3	7	12	1	71
233	3	11	5	255	1	5	9	1	60
234	3	20	16	418	1	6	8	1	64
235	3	7	5	309	1	6	7	1	77
236	3	20	16	212	1	7	10	1	59
237	3	9	5	436	1	9	20	1	143
238	3	18	14	222	1	7	10	1	78
239	3	17	11	278	1	9	8	1	109
240	3	16	13	246	1	6	7	1	94
241	3	12	9	200	1	8	8	1	133
242	3	16	9	556	2	5	10	1	101
243	3	11	7	208	1	9	14	1	93
244	3	15	8	263	1	11	19	1	135
245	3	9	8	263	1	13	14	0	129
246	3	10	5	440	1	4	8	1	62
247	3	15	7	323	3	6	9	0	142
248	3	6	5	410	1	9	8	0	115
249	3	23	5	277	2	5	10	1	75
250	3	17	10	200	1	7	18	1	136
251	3	11	5	268	1	7	12	1	122
252	3	18	6	431	2	4	6	1	69
253	3	16	11	224	1	6	8	1	102
254	3	22	14	415	1	6	8	1	67
255	3	19	15	366	1	3	4	1	112
256	3	25	10	294	1	6	12	5	61
257	3	26	7	294	1	10	29	1	114
258	3	8	5	241	1	7	9	1	122
259	3	11	10	262	1	9	10	0	104
260	3	13	9	238	1	7	10	1	56
261	3	18	9	556	1	6	17	1	93
262	3	14	9	230	2	13	21	1	105
263	3	11	8	427	1	3	3	1	50
264	3	10	6	313	2	4	8	6	108
265	3	23	18	489	1	11	15	1	88
266	3	19	9	260	1	6	11	1	52
267	3	8	5	282	1	8	12	1	119
268	3	31	11	328	2	9	31	64	106
269	3	33	14	464	1	9	16	4	55
270	3	18	8	239	1	5	5	1	76
271	3	28	11	342	2	9	31	11	114
272	3	13	12	392	1	6	6	0	103
273	3	15	5	239	1	10	28	1	146
274	3	8	5	211	1	12	13	1	127
275	3	63	13	261	1	11	96	195	118
276	3	8	6	308	1	9	15	1	59
277	3	30	7	455	1	5	10	9	97
278	3	34	6	437	2	5	51	10	96
